model,optimizer,architecture,activation,regularization,test_loss,test_acc,test_f1,test_auc,final_train_loss,final_train_acc,final_val_loss,final_val_acc
Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-none,SGD,"[2, 64, 1]",ReLU,none,0.1659,0.9667,0.9666,0.9955,0.1726,0.9857,0.2281,0.9333
Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-dropout,SGD,"[2, 64, 1]",ReLU,dropout,0.1858,0.9667,0.9666,0.9955,0.1954,0.9786,0.2365,0.9333
Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-l2,SGD,"[2, 64, 1]",ReLU,l2,0.1532,0.9667,0.9666,1.0,0.1551,0.9857,0.2183,0.9333
Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-none,SGD,"[2, 64, 1]",Tanh,none,0.143,0.9667,0.9666,0.9955,0.1584,0.9857,0.2143,0.9333
Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-dropout,SGD,"[2, 64, 1]",Tanh,dropout,0.1576,0.9667,0.9666,0.9955,0.1756,0.9786,0.2304,0.9333
Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-l2,SGD,"[2, 64, 1]",Tanh,l2,0.1437,0.9667,0.9666,0.9955,0.1542,0.9857,0.2147,0.9333
Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-none,SGD,"[2, 128, 64, 1]",ReLU,none,0.1213,0.9667,0.9666,1.0,0.1103,0.9857,0.1918,0.9333
Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-dropout,SGD,"[2, 128, 64, 1]",ReLU,dropout,0.1244,0.9667,0.9666,1.0,0.1319,0.9786,0.2032,0.9333
Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-l2,SGD,"[2, 128, 64, 1]",ReLU,l2,0.1256,0.9667,0.9666,1.0,0.1236,0.9857,0.1988,0.9333
Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-none,SGD,"[2, 128, 64, 1]",Tanh,none,0.111,0.9667,0.9666,0.9955,0.0969,0.9857,0.1952,0.9333
Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-dropout,SGD,"[2, 128, 64, 1]",Tanh,dropout,0.1095,0.9667,0.9666,0.9955,0.1024,0.9786,0.1923,0.9333
Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-l2,SGD,"[2, 128, 64, 1]",Tanh,l2,0.1129,0.9667,0.9666,0.9955,0.101,0.9857,0.1998,0.9333
Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-none,SGD,"[2, 256, 128, 64, 1]",ReLU,none,0.107,0.9667,0.9666,1.0,0.0967,0.9857,0.1796,0.9333
Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-dropout,SGD,"[2, 256, 128, 64, 1]",ReLU,dropout,0.107,0.9667,0.9666,1.0,0.1042,0.9786,0.184,0.9333
Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-l2,SGD,"[2, 256, 128, 64, 1]",ReLU,l2,0.118,0.9667,0.9666,1.0,0.1004,0.9857,0.1843,0.9333
Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-none,SGD,"[2, 256, 128, 64, 1]",Tanh,none,0.1054,0.9667,0.9666,0.9955,0.0792,0.9857,0.1968,0.9333
Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-dropout,SGD,"[2, 256, 128, 64, 1]",Tanh,dropout,0.1086,0.9667,0.9666,0.9955,0.0875,0.9857,0.2,0.9333
Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-l2,SGD,"[2, 256, 128, 64, 1]",Tanh,l2,0.1007,0.9667,0.9666,0.9955,0.0799,0.9857,0.1877,0.9333
Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-none,Adam,"[2, 64, 1]",ReLU,none,0.1051,0.9667,0.9666,1.0,0.078,0.9857,0.1758,0.9333
Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-dropout,Adam,"[2, 64, 1]",ReLU,dropout,0.1019,0.9667,0.9666,1.0,0.0815,0.9857,0.1751,0.9333
Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-l2,Adam,"[2, 64, 1]",ReLU,l2,0.1009,0.9667,0.9666,1.0,0.118,0.9857,0.174,0.9333
Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-none,Adam,"[2, 64, 1]",Tanh,none,0.1029,0.9667,0.9666,0.9955,0.0858,0.9857,0.1882,0.9333
Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-dropout,Adam,"[2, 64, 1]",Tanh,dropout,0.1044,0.9667,0.9666,0.9955,0.1216,0.9786,0.1957,0.9333
Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-l2,Adam,"[2, 64, 1]",Tanh,l2,0.1037,0.9667,0.9666,0.9955,0.0892,0.9857,0.1863,0.9333
Optimizer-Adam_Arch-2hidden_Act-ReLU_Reg-none,Adam,"[2, 128, 64, 1]",ReLU,none,0.0698,0.9667,0.9666,1.0,0.0664,0.9857,0.1525,0.9333
Optimizer-Adam_Arch-2hidden_Act-ReLU_Reg-dropout,Adam,"[2, 128, 64, 1]",ReLU,dropout,0.0684,0.9667,0.9666,1.0,0.063,0.9786,0.1532,0.9333
Optimizer-Adam_Arch-2hidden_Act-ReLU_Reg-l2,Adam,"[2, 128, 64, 1]",ReLU,l2,0.0789,0.9667,0.9666,1.0,0.0682,0.9857,0.1555,0.9333
Optimizer-Adam_Arch-2hidden_Act-Tanh_Reg-none,Adam,"[2, 128, 64, 1]",Tanh,none,0.1032,0.9667,0.9666,1.0,0.0602,0.9857,0.1983,0.9333
Optimizer-Adam_Arch-2hidden_Act-Tanh_Reg-dropout,Adam,"[2, 128, 64, 1]",Tanh,dropout,0.1063,0.9667,0.9666,1.0,0.0686,0.9857,0.2043,0.9333
Optimizer-Adam_Arch-2hidden_Act-Tanh_Reg-l2,Adam,"[2, 128, 64, 1]",Tanh,l2,0.0869,0.9667,0.9666,1.0,0.0615,0.9857,0.1736,0.9333
Optimizer-Adam_Arch-3hidden_Act-ReLU_Reg-none,Adam,"[2, 256, 128, 64, 1]",ReLU,none,0.0581,0.9667,0.9666,1.0,0.0457,0.9857,0.1257,0.9667
Optimizer-Adam_Arch-3hidden_Act-ReLU_Reg-dropout,Adam,"[2, 256, 128, 64, 1]",ReLU,dropout,0.0533,0.9667,0.9666,1.0,0.0642,0.9857,0.1198,0.9333
Optimizer-Adam_Arch-3hidden_Act-ReLU_Reg-l2,Adam,"[2, 256, 128, 64, 1]",ReLU,l2,0.0665,0.9667,0.9666,1.0,0.0462,0.9857,0.1334,0.9333
Optimizer-Adam_Arch-3hidden_Act-Tanh_Reg-none,Adam,"[2, 256, 128, 64, 1]",Tanh,none,0.0724,0.9667,0.9666,1.0,0.0426,0.9857,0.1426,0.9333
Optimizer-Adam_Arch-3hidden_Act-Tanh_Reg-dropout,Adam,"[2, 256, 128, 64, 1]",Tanh,dropout,0.0885,0.9667,0.9666,1.0,0.046,0.9857,0.1645,0.9333
Optimizer-Adam_Arch-3hidden_Act-Tanh_Reg-l2,Adam,"[2, 256, 128, 64, 1]",Tanh,l2,0.0956,0.9667,0.9666,1.0,0.0545,0.9857,0.1744,0.9333
